rank,player,team,goals,assists,points
179,Matthew Castor,Timothy Christian,2,2,6
180,Mihran Laskar,J.P. Stevens,2,2,6
181,Phil Cui,St. Joseph (Met.),2,2,6
182,Sanket Parikh,Sayreville,2,2,6
183,Sebastian Roessele,South Amboy,2,2,6
184,Aadit Sawant,Old Bridge,1,4,6
185,Allen Perez,South Plainfield,1,4,6
186,Neel Vaswani,Somerset Tech,1,4,6
187,Quentin Taha,East Brunswick,1,4,6
188,Rene Sandoval,Dunellen,1,4,6
189,Roger Vasquez-Gaytan,Piscataway Magnet,1,4,6
190,Yash Pabisetty,Edison Magnet,1,4,6
191,Adam Sanchez,South Plainfield,2,1,5
192,Alessandro Malqui Roldan,Perth Amboy,2,1,5
193,Anderson Muncha,North Plainfield,2,1,5
194,Anish Puri,Woodbridge Magnet,2,1,5
195,Braeden Sheppard,St. Joseph (Met.),2,1,5
196,Bryan Castro,Middlesex,2,1,5
197,Eshan Jagdale,J.P. Stevens,2,1,5
198,Inderveer Singh,J.P. Stevens,2,1,5
199,Jonathan TIrado,Metuchen,2,1,5
200,Joshua Yanchuck,Spotswood,2,1,5
201,Landen Nelson,Calvary Christian (Old Bridge),2,1,5
202,Leo Reseka,Highland Park,2,1,5
203,Lucien Laforgue,Middlesex,2,1,5
204,Mateo Correa,Woodbridge,2,1,5
205,Mateo Dela Cruz,East Brunswick,2,1,5
206,Nana Darbo,Sayreville,2,1,5
207,Nathan Reis,Old Bridge,2,1,5
208,Papy Musombo,Woodbridge,2,1,5
209,Rohanpreet Dhillon,Colonia,2,1,5
210,Samir Ibrahim,South Plainfield,2,1,5
211,William Sanchez,South Plainfield,2,1,5
212,Xavier Welbeck-Taveras,St. Joseph (Met.),2,1,5
213,Yousef Elnajjar,South Brunswick,2,1,5
214,Brian Tello,Somerset Tech,1,3,5
215,Christopher Branz,North Brunswick,1,3,5
216,Gianmaikol Perez-Gomez,Somerset Tech,1,3,5
217,Gustavo Ramirez Sanchez,Perth Amboy,1,3,5
218,Lucas Brito,Piscataway,1,3,5
219,Vadym Bortnyk,Sayreville,1,3,5
220,Valentin Guzman,Woodbridge,1,3,5
221,Damian Jara,South River,0,5,5
222,Tyler Chen,Metuchen,0,5,5
223,Aaditya Mittal,Edison Magnet,2,0,4
224,Ahmad Shakeel,Iselin Kennedy,2,0,4
225,Allan Xehula,Piscataway Magnet,2,0,4
226,Benjamin Desilva,Edison,2,0,4
227,Brandon Chavez Delacruz,Piscataway,2,0,4
228,Chris Sic Mauricio,Piscataway,2,0,4
229,Dylan Bases,Woodbridge,2,0,4
230,Evan Gomes,Calvary Christian (Old Bridge),2,0,4
231,Jack Scott,Piscataway,2,0,4
232,Jacob Garcia,Dunellen,2,0,4
233,Jakub Borsukiewicz,Colonia,2,0,4
234,Jash Shah,J.P. Stevens,2,0,4
235,Jhosstin Guaman Guaman,Middlesex,2,0,4
236,John Matos,East Brunswick,2,0,4
237,Jude Crowley,Highland Park,2,0,4
238,Kenton Goodwin,Middlesex,2,0,4
239,Lestor Rosa,New Brunswick,2,0,4
240,Mackias Ysaac,Wardlaw-Hartridge,2,0,4
241,Mario Garcete,South Amboy,2,0,4
242,Marko Skoratko,Metuchen,2,0,4
243,Nate Huber,East Brunswick Magnet,2,0,4
244,Sean Galkovskiy,Monroe,2,0,4
245,Solomon,South Amboy,2,0,4
246,Bobby Pervan,Sayreville,1,2,4
247,Carlos Alvarado,St. Thomas Aquinas,1,2,4
248,Christian Ortiz Gonzalez,Dunellen,1,2,4
249,Jacob Cerbone,Calvary Christian (Old Bridge),1,2,4
250,John Hernandez,New Brunswick,1,2,4
251,Landin Lazoja,Old Bridge,1,2,4
252,Leandro Kieffer - Brown,Highland Park,1,2,4
253,Matias Maza,Perth Amboy,1,2,4
254,Michael Palumbo,Spotswood,1,2,4
255,Nitin Malli,Monroe,1,2,4
256,Siddhant Barui,J.P. Stevens,1,2,4
257,Snyder Reyes,St. Thomas Aquinas,1,2,4
258,Talha Syed,J.P. Stevens,1,2,4
259,Thomas Solecki,Colonia,1,2,4
260,Tiago Roque,Metuchen,1,2,4
261,Vinny Di Lauro,Woodbridge,1,2,4
262,Wander Silva,Carteret,1,2,4
263,Brandon Ferrante,Old Bridge,0,4,4
264,Ian Asinger,St. Thomas Aquinas,0,4,4
265,Matt Martinez,Somerset Tech,0,4,4
266,Sean Enda,East Brunswick,0,4,4
267,Zaidyn Rivera,Carteret,0,4,4
268,Aahil Sikkander,South Brunswick,1,1,3
269,Adam Abdelsalam,Edison,1,1,3
270,Andrew Hume,Highland Park,1,1,3
271,Barry Solano,South Brunswick,1,1,3
272,Bayron Banos Bautista,North Brunswick,1,1,3
273,Cedrick Sofo,Sayreville,1,1,3
274,Daniel Krasnopolskiy,East Brunswick,1,1,3
275,David Rodrigues,South River,1,1,3
276,Demian Papirnik,Spotswood,1,1,3
277,Edimar Paz,Piscataway,1,1,3
278,Ethan Chendorian,Perth Amboy Magnet,1,1,3
279,Gavin Galvao,Old Bridge,1,1,3
280,Henzel Hercules,Piscataway,1,1,3
281,Jayden Calatayud,Colonia,1,1,3
282,Jerson Auxuma,Highland Park,1,1,3
283,Joel Rivas,Monroe,1,1,3
284,John-Henry Kugel,Old Bridge,1,1,3
285,Jonibek Nosirov,Highland Park,1,1,3
286,Joshua Marquez,Old Bridge,1,1,3
287,Juan Jose Saenz Avila,Iselin Kennedy,1,1,3
288,Justin Morrissey,Old Bridge,1,1,3
289,Kevin Miranda-Sanchez,Piscataway Magnet,1,1,3
290,Manny Souza,South Amboy,1,1,3
291,Michael Teixeira,Colonia,1,1,3
292,Nick Dysko,Somerset Tech,1,1,3
293,Nikhil Patel,Iselin Kennedy,1,1,3
294,Panav Patel,East Brunswick,1,1,3
295,Rodrigo Mosquera,North Plainfield,1,1,3
296,Rome Bullis,Old Bridge,1,1,3
297,Samuel Perdomo,Dunellen,1,1,3
